Unnamed: 0;GSDB_NO;B_P_RATIO;PRESSURE_RATIO;RATED_THRUST_KN_;HC_EI_T_O_G_KG_;HC_EI_C_O_G_KG_;HC_EI_APP_G_KG_;HC_EI_IDLE_G_KG_;HC_NUMBER_TEST;HC_NUMBER_ENG;HC_DP_FOO_AVG_G_KN_;HC_DP_FOO_SIGMA_G_KN_;HC_DP_FOO_MIN_G_KN_;HC_DP_FOO_MAX_G_KN_;HC_DP_FOO_CHARACTERISTIC_G_KN_;HC_DP_FOO_CHARACTERISTIC_OF_REG_LIMIT_;HC_LTO_TOTAL_MASS_G_;CO_EI_T_O_G_KG_;CO_EI_C_O_G_KG_;CO_EI_APP_G_KG_;CO_EI_IDLE_G_KG_;CO_NUMBER_TEST;CO_NUMBER_ENG;CO_DP_FOO_AVG_G_KN_;CO_DP_FOO_SIGMA_G_KN_;CO_DP_FOO_MIN_G_KN_;CO_DP_FOO_MAX_G_KN_;CO_DP_FOO_CHARACTERISTIC_G_KN_;CO_DP_FOO_CHARACTERISTIC_OF_REG_LIMIT_;CO_LTO_TOTAL_MASS_G_;NOX_EI_T_O_G_KG_;NOX_EI_C_O_G_KG_;NOX_EI_APP_G_KG_;NOX_EI_IDLE_G_KG_;NOX_NUMBER_TEST;NOX_NUMBER_ENG;NOX_DP_FOO_AVG_G_KN_;NOX_DP_FOO_SIGMA_G_KN_;NOX_DP_FOO_MIN_G_KN_;NOX_DP_FOO_MAX_G_KN_;NOX_DP_FOO_CHARACTERISTIC_G_KN_;NOX_DP_FOO_CHARACTERISTIC_OF_ORIGINAL_STANDARD_;NOX_DP_FOO_CHARACTERISTIC_OF_CAEP_2_STANDARD_;NOX_DP_FOO_CHARACTERISTIC_OF_CAEP_4_STANDARD_;NOX_DP_FOO_CHARACTERISTIC_OF_CAEP_6_STANDARD_;NOX_DP_FOO_CHARACTERISTIC_OF_CAEP_8_STANDARD_;NOX_LTO_TOTAL_MASS_G_;SN_T_O;SN_C_O;SN_APP;SN_IDLE;SN_NUMBER_TEST;SN_NUMBER_ENG;SN_MAX;SN_SIGMA;SN_RANGE_MIN;SN_RANGE_MAX;SN_CHARACTERISTIC;SN_CHARACTERISTIC_OF_REG_LIMIT_;FUEL_H_C_RATIO_MIN;FUEL_H_C_RATIO_MAX;FUEL_AROM_MIN_;FUEL_AROM_MAX_;FUEL_FLOW_T_O_KG_SEC_;FUEL_FLOW_C_O_KG_SEC_;FUEL_FLOW_APP_KG_SEC_;FUEL_FLOW_IDLE_KG_SEC_;FUEL_LTO_CYCLE_KG_;LOADS_POWER_EXTRACTION_KW_;AMBIENT_BARO_MIN_KPA_;AMBIENT_BARO_MAX_KPA_;AMBIENT_TEMP_MIN_K_;AMBIENT_TEMP_MAX_K_;HUMIDITY_MIN_KG_KG_;HUMIDITY_MAX_KG_KG_
20;11,0;5,1;29,0;121,4;0,03;0,02;0,05;1,54;7,0;3,0;2,25;0,35;1,88;2,56;2,62;13,4;273,0;0,31;0,17;2,82;29,39;7,0;3,0;43,8;2,5;41,0;45,6;47,4;40,2;5320,0;23,94;17,89;9,09;4,36;7,0;3,0;43,09;1,1;42,4;44,4;45,6;46,5;58,2;69,7;79,2;93,6;5231,0;13,4;11,2;2,1;2,1;7,0;3,0;13,38;4,5;8,4;16,9;14,72;65,6;1,92;1,93;16,2;17,5;1,293;1,031;0,343;0,11;444,0;0,0;97,6;98,5;277,0;293,0;0,0015;0,00628
21;11,0;5,1;29,0;121,4;0,03;0,02;0,05;1,54;7,0;3,0;2,25;0,35;1,88;2,56;2,62;13,4;273,0;0,31;0,17;2,82;29,39;7,0;3,0;43,8;2,5;41,0;45,6;47,4;40,2;5320,0;23,94;17,89;9,09;4,36;7,0;3,0;43,09;1,1;42,4;44,4;45,6;46,5;58,2;69,7;79,2;93,6;5231,0;13,4;11,2;2,1;2,1;7,0;3,0;13,38;4,5;8,4;16,9;14,72;65,6;1,92;1,93;16,2;17,5;1,293;1,031;0,343;0,11;444,0;0,0;97,6;98,5;277,0;293,0;0,0015;0,00628
22;11,0;5,1;29,0;121,4;0,03;0,02;0,05;1,54;7,0;3,0;2,25;0,35;1,88;2,56;2,62;13,4;273,0;0,31;0,17;2,82;29,39;7,0;3,0;43,8;2,5;41,0;45,6;47,4;40,2;5320,0;23,94;17,89;9,09;4,36;7,0;3,0;43,09;1,1;42,4;44,4;45,6;46,5;58,2;69,7;79,2;93,6;5231,0;13,4;11,2;2,1;2,1;7,0;3,0;13,38;4,5;8,4;16,9;14,72;65,6;1,92;1,93;16,2;17,5;1,293;1,031;0,343;0,11;444,0;0,0;97,6;98,5;277,0;293,0;0,0015;0,00628
23;4,0;5,1;27,8;116,99;0,03;0,06;4,73;5,88;3,0;3,0;12,21;1,3648235897417045;11,1;13,4;14,2;72,7;1425,0;0,77;2,51;26,07;39,93;3,0;3,0;81,39;3,397460708166665;77,1;85,9;88,0;74,6;9495,0;19,2;14,77;7,26;4,27;3,0;3,0;36,24;1,2938656402811686;36,0;36,8;38,4;40,2;50,2;60,5;68,7;81,7;4233,0;0,7;0,7;0,7;0,7;3,0;3,0;0,71;1,587896299501851;0,3;1,6;0,7;3,1;1,93;1,94;18,0;19,2;1,203;0,989;0,334;0,113;438,0;0,0;97,9;98,0;292,8;296,7;0,00814;0,0131
24;11,0;5,1;29,0;121,4;0,03;0,02;0,05;1,54;7,0;3,0;2,25;0,35;1,88;2,56;2,62;13,4;273,0;0,31;0,17;2,82;29,39;7,0;3,0;43,8;2,5;41,0;45,6;47,4;40,2;5320,0;23,94;17,89;9,09;4,36;7,0;3,0;43,09;1,1;42,4;44,4;45,6;46,5;58,2;69,7;79,2;93,6;5231,0;13,4;11,2;2,1;2,1;7,0;3,0;13,38;4,5;8,4;16,9;14,72;65,6;1,92;1,93;16,2;17,5;1,293;1,031;0,343;0,11;444,0;0,0;97,6;98,5;277,0;293,0;0,0015;0,00628
26;8,0;5,1;29,0;121,4;0,03;0,02;0,05;1,54;7,0;3,0;2,25;0,35;1,88;2,56;2,62;13,4;273,0;0,31;0,17;2,82;29,39;7,0;3,0;43,8;2,5;41,0;45,6;47,4;40,2;5320,0;23,94;17,89;9,09;4,36;7,0;3,0;43,09;1,1;42,4;44,4;45,6;46,5;58,2;69,7;79,2;93,6;5232,0;13,4;11,2;2,1;2,1;7,0;3,0;13,38;4,5;8,4;16,9;14,72;65,6;1,92;1,93;16,2;17,5;1,293;1,031;0,343;0,11;444,0;0,0;97,6;98,5;277,0;293,0;0,0015;0,00628
29;11,0;5,3;25,6;107,6;0,02;0,03;0,06;2,3;7,0;3,0;3,51;0,45;3,01;3,88;4,09;20,9;377,0;0,18;0,15;3,68;34,71;7,0;3,0;54,38;2,8;51,2;56,4;58,8;49,8;5854,0;18,93;15,6;8,6;4,09;7,0;3,0;37,11;1,2;36,1;38,5;39,3;43,1;53,9;65,5;74,5;89,5;3996,0;12,1;8,7;2,1;2,1;7,0;3,0;12,07;3,4;8,3;14,7;13,28;57,2;1,92;1,93;16,2;17,5;1,086;0,895;0,308;0,103;398,0;0,0;97,6;98,5;277,0;293,0;0,0015;0,00628
33;8,0;5,7;27,3;120,1;0,02;0,02;0,05;1,92;7,0;3,0;2,61;0,36;2,21;2,93;3,05;15,6;314,0;0,25;0,16;3,24;32,07;7,0;3,0;44,84;2,4;42,0;46,6;48,5;41,1;5386,0;21,57;17,23;8,85;4,22;7,0;3,0;37,56;1,1;36,6;38,8;39,8;42,1;52,6;63,5;72,2;85,9;4511,0;13,4;9,9;2,1;2,1;7,0;3,0;13,4;4,5;8,4;16,9;14,7;65,3;1,92;1,93;16,2;17,5;1,142;0,939;0,316;0,102;407,0;0,0;97,6;98,5;277,0;293,0;0,0015;0,00628
34;8,0;6,0;23,1;97,9;0,03;0,03;0,08;3,55;7,0;3,0;5,31;0,55;4,68;5,7;6,2;31,6;520,0;0,15;0,2;4,94;41,77;7,0;3,0;64,82;2,9;61,5;66,5;70,1;59,4;6343,0;16,42;14,01;8,03;3,81;7,0;3,0;31,13;1,1;30,1;32,2;33,0;38,3;47,9;59,0;67,0;81,7;3047,0;9,7;8,0;2,1;2,1;7,0;3,0;9,7;2,1;8,0;12,1;10,7;44,9;1,92;1,93;16,2;17,5;0,894;0,743;0,264;0,092;343,0;0,0;97,6;98,5;277,0;293,0;0,0015;0,00628
35;8,0;5,9;24,3;104,5;0,02;0,03;0,07;2,93;7,0;3,0;4,24;0,48;3,7;4,61;4,95;25,3;440,0;0,17;0,17;4,35;38,39;7,0;3,0;57,45;2,7;54,3;59,3;62,1;52,6;5912,0;17,73;14,88;8,29;3,94;7,0;3,0;32,81;1,1;31,8;34,0;34,8;39,3;49,1;60,1;68,3;82,7;3363,0;11,3;8,4;2,1;2,1;7,0;3,0;11,3;2,6;8,3;12,9;12,4;53,0;1,92;1,93;16,2;17,5;0,965;0,8;0,279;0,095;361,0;0,0;97,6;98,5;277,0;293,0;0,0015;0,00628
36;8,0;5,7;27,3;120,1;0,02;0,02;0,05;1,92;7,0;3,0;2,61;0,36;2,21;2,93;3,05;15,6;314,0;0,25;0,16;3,24;32,07;7,0;3,0;44,84;2,4;42,0;46,6;48,5;41,1;5386,0;21,57;17,23;8,85;4,22;7,0;3,0;37,56;1,1;36,8;38,8;39,8;42,1;52,6;63,5;72,2;85,9;4511,0;13,4;9,9;2,1;2,1;7,0;3,0;13,4;4,5;8,4;16,9;14,7;65,3;1,92;1,93;16,2;17,5;1,142;0,939;0,316;0,102;407,0;0,0;97,6;98,5;277,0;293,0;0,0015;0,00628
